Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
California,Paddling,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,18h00,White shark
Georgia,Standing,F,11,Minor injury to left thigh,N,UNKNOWN,UNKNOWN
Hawaii,Surfing,M,48,Injury to left lower leg from surfboard skeg,N,07h45,UNKNOWN
New South Wales,Surfing,M,UNKNOWN,Minor injury to lower leg,N,UNKNOWN,2 m shark
Colima,Free diving,M,UNKNOWN,Lacerations to leg & hand shark PROVOKED INCIDENT,N,UNKNOWN,"Tiger shark, 3m"
New South Wales,Kite surfing,M,UNKNOWN,"No injury, board bitten",N,UNKNOWN,UNKNOWN
Pernambuco,Swimming,M,18,FATAL,Y,Late afternoon,Tiger shark
Florida,Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,UNKNOWN,"Lemon shark, 3"
Florida,Walking,M,15,Lower left leg bitten,N,17h00,"Bull shark, 6"
Florida,Standing,M,12,Minor injury to foot,N,14h00,UNKNOWN
Queensland,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,Grey reef shark
South Carolina,Boogie boarding,M,10,Injuries to lower right leg and foot,N,UNKNOWN,UNKNOWN
South Carolina,Swimming,M,10,Severe bite to right forearm,N,15h00,UNKNOWN
Cornwall,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08h15,Invalid incident
Westerm Australia,Feeding sharks,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,UNKNOWN,"Tawny nurse shark, 2m"
Eastern Cape Province,Surfing,M,UNKNOWN,"Minor injury, marks on board",N,11h00,UNKNOWN
New South Wales,Surfing,M,UNKNOWN,"No injury, surfboard damaged",N,10h30,Shark involvement not confirmed
Hua Hin,Swimming,M,UNKNOWN,Minor injury to ankle,N,UNKNOWN,UNKNOWN
Cocos Island,Scuba diving,M,30,"No injury, shark bit scuba gear",N,10h40,Tiger shark
Western Australia,Surfing,M,UNKNOWN,"No injury, knocked off board by shark",N,16h50,UNKNOWN
New South Wales,Surfing,M,UNKNOWN,No injury,N,07h00,Questionable
Western Australia,Surfing,M,60,"No injury, knocked off board by shark",N,09h30,3 m shark
Western Australia,Surfing,M,UNKNOWN,"No injury, shark struck his leg",N,Afternoon,"White shark, 3.5 m"
Alifu Alifu Atoll,Fishing,M,32,5-inch cut to hand,N,21h50,Tiger shark
Western Cape Province,Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,09h40,"White shark, 2.5 m"
Hawaii,Body boarding,M,29,Lacerations to right lower leg,N,UNKNOWN,6 shark
Hua Hin,Swimming,M,54,Lacerations to foot and ankle,N,UNKNOWN,Juvenile bull shark
Pernambuco,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",UNKNOWN,UNKNOWN,UNKNOWN
Western Australia,Surfing,M,41,Laceration to right thigh,N,UNKNOWN,UNKNOWN
Western Australia,Surfing,M,37,Lacerations to legs,N,08h00,UNKNOWN
New Providence,Surfing,M,UNKNOWN,No Injury. Shark swam away with the surf board,N,09h30,Tiger shark
Alagoas,Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,UNKNOWN,Shark involvement not confirmed
UNKNOWN,Windsurfing,UNKNOWN,UNKNOWN,"No injury, shark bit board",N,17h00,2 m shark
UNKNOWN,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,18h00,Bull shark
Eastern Cape Province,Surfing,M,19,Lacerations to left knee & lower leg,N,15h00,White shark
Hawaii,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,09h30,"Tiger shark, 12"
Western Australia,Wading,M,10,Minor injuries to legs,N,17h35,Wobbegong shark
Victoria,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15h30,3.5 m shark
Victoria,Surfing,M,18,"Minor injury, ankle grazed",N,07h30,1.8 m shark
KwaZulu-Natal,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,UNKNOWN,Blacktip shark
New South Wales,Swimming,F,55,Laceratons to right leg & foot,N,UNKNOWN,"Juvenile white shark,  2.7 to 3.2 m"
Victoria,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night,UNKNOWN
New South Wales,Walking,M,35,Puncture wounds to leff foot & lower leg,N,16h00,"Bull shark, 2 m"
Queensland,Swimming,F,UNKNOWN,"Collision / No injury, no attack",N,18h00,Possibly a wobbegong
