,0
0,California
1,Georgia
2,Hawaii
3,New South Wales
4,Colima
5,Pernambuco
6,Florida
7,Queensland
8,South Carolina
9,Cornwall
10,Westerm Australia
11,Eastern Cape Province
12,Hua Hin
13,Cocos Island
14,Western Australia
15,Alifu Alifu Atoll
16,Western Cape Province
17,New Providence
18,Alagoas
19,
20,Victoria
21,KwaZulu-Natal
22,"Boi Island, Victoria"
23,Galapagos Islands
24,Fernando de Noronha
25,Sepang
26,Holquin Province
27,Pamplemousses 
28,South Australia
29,North Island
30,New York
31,Canary Islands
32, Upolu Island
33,Shizuoka Prefecture
34,Texas
35,Castellón
36,Massachusetts
37,Red Sea Protectorate
38,New Providence District
39,40 miles off Grand Bahama Island
40,Ascension Island
41,New Jersey
42,Majorca
43,Washington
44,Tabasco
45,Anjouan
46,Ibiza Island
47,Marquesas
48,South Devon
49,New Providence 
50,"Sharjah, "
51,Baja California Sur
52,Saint-Leu
53,South Island
54,Luzon Island
55,Great Exuma
56,Saint-Andre
57,Bimini
58,Bali
59,Tuamotos
60,Oregon
61,North Province
62,New Providence Island
63,Alicante Province
64,Hong Kong
65,Kochi Prefecture
66,Tasmania
67,Abaco Islands
68,Alabama
69,North Carolina
70,Isla Provedencia
71,Suez
72,Grand Terre
73,Boa Vista Island
74,Vanua Levu
75,Santa Catarina State
76,South Province
77,Altagracia Province
78,Grand Cayman
79,Balneário Camboriú
80,Fujairah Emirate
81,Grand Canary Island
82,Inhambane Province
83,Phuket
84,Alicante
85,Guanacaste
86,Bora Bora
87,Grand Bahama Island
88,Le Port
89,Rangiroa
90,Saint-Gilles-les-Bains
91,Sardinia
92,Sinaloa
93,Central Tuamotu
94,d’Étang-Salé
95,Granada
96,Cargados Carajos Shoals (St. Brandon)
97,Moorea
98,Catalonia
99,Maryland
100,Louisiana
101,West End
102,Delaware
103,Atsumi peninsula
104,Palmyra Atoll
105,Wallis and Futuna
106,Baie de Sainte-Marie
107,Society Islands
108,Trinidad
109,Okinawa Prefecture
110,740 miles SE of Tarawa Atoll
111,Southern District
112,Bay of Biscay
113,Quintana Roo
114,Exuma Islands
115,Saint-Paul
116,Taitung 
117,Kingston Parish
118,Santa Cruz Island
119,Saint-Gilles
120,Tuamotus
121,Eleuthera
122,St. Catherine
123,Palawan
124,Mercury Islands
125,Delta
126,Vava'u
127,Inner Hebrides
128,Saint Leu
129,Trois-Bassins
130,British Colombia
131,Guerrero
132,Saint-Benoit
133,Tabuk Province
134,Antofagasta Province
135,St John's
136,Santa Elena
137,East New Britain
138,Bois-Blanc 
139,Moray
140,Puerto Rico
141,Samaná Province
142,Coast Province
143,Central Province
144,Primorsky Krai
145,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)"
146,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)"
147,Praslin
148,Sucre
149,Middle Caicos
150,Caicos Bank
151,San Andrés archipelago
152,Kedah
153,Umm al Qaywayan Province
154,Vitu Levu
155,South Sinai Peninsula
156, Loyalty Islands
157,Saint Gilles 
158,Maine
159,Virginia
160,Ha'api 
161,Western Province
162,Jeju Province
163,Binh Dinh Province
164,Antsiranana Province
165,Sinai Peninsula
166,Off Vanua Levu
167,Merizo
168,Rio Grande Do Sul
169,Dubai
170,Torres Strait
171,Eastern Province
172,Eastern Cape  Province
173,Maputo Province
174,Bocas
175,Fife
176,Devon
177,Makira-Ulawa Province
178,Mombasa
179,Catalunya
180,St. Johns Reef
181,Off Green Island
182,North Region
183,Batangas province
184,Strait of Malacca
185,Guantanamo Province
186,Maranhão
187,Red Sea
188,Batanes Provine
189,Luzon
190,Northern Territory
191," Split-Dalmatia Count,"
192,North Devon
193,US Virgin Islands
194,San Carlos
195,Cabo San Lucas
196,Sussex
197,Bahia
198,Easter Ross
199,Guerro
200,Yasawa Islands
201,Northern Bahamas
202,Tokyo Bay
203,Baja California
204,Green Bay
205,Loyalty Islands
206,Marovo Lagoon
207,Territory of Cocos (Keeling) Islands
208,Oslo Fjord
209,Kent
210,Bird Island
211,Providenciales
212,Bimini Islands
213,Muhafazat Hadramawt
214,Cook islans
215,Surigao del Norte
216,Between Somalia & Yemen
217,Ambergris Caye
218,Saint-Pierre
219,Kentucky
220,Andros Islands
221,Guam
222,Western Area
223,300 miles from Antigua
224,800 miles from land
225,600 nm west of the Canary Islands
226,Simpson Bay
227,East Wall
228,Inner Islands
229,Shanghai
230,Malampa Province
231,South Ch'ungch'ong Province
232,Bay Islands
233,New Mexico
234,Santa Isabel Province
235,Santiago de Cuba Province
236,Camaguey Province
237,Conservatória District
238,South Carolina 
239,Kuril Islands in the Pacific
240,Wakayama Prefecture
241,Nuku'alofa
242,Saint-Benoît
243,"South Island, near Karitane north of Dunedin"
244,Rocha
245,Northlands
246,Anzoategui
247,Cook Islands
248,Tamil Nadu
249,Pearl Islands
250,Taveuni
251,Johnston Atoll
252,Baatan
253,Rio de Janeiro
254,Nueva Esparta
255,Southland
256,North Pacific coast
257,Caroline Islands
258,Cheshire
259,Louisiade Archipelago
260,KwaZulu-Natal between Port Edward and Port St Johns
261,Milne Bay Province
262,Cikobia Island (north of Vanua Levu)
263,Rayong Province
264,Zamboanga del Sur Province
265,Rio Grande de Norte
266,Off the western coast of peninsular Malaysia
267,New Brunswick
268,Miyako Island
269,Alaska
270,Minerva Reef
271,Madang Province
272,Worcestershire
273,Phang nga Province
274,Alinglaplap Atoll
275,Adriatic Sea
276,Ralik Chain
277,Grand Baie
278,L' Etang Salé-les-Bains
279,Southern Japan
280,Cap Vert Peninsula
281,Marches region
282,Berry Islands
283,Transvaal
284,Gaza
285,Grand'Anse
286,Beaufonds
287,Miyako
288,L'Etang-Sale
289,Chatham Islands 
290,"South Sinai, Gulf of Aqaba"
291,Cat Cay
292,Missouri
293,12 miles off the north coast
294,Saint-Paul 
295,"Chatham Islands, east of New  Zealand"
296,Saint-Denis
297,Vava’u
298,Mississippi
299,Clearwater Bay
300,New Territories
301,Aichi Prefecture
302,Tafea Province
303,Kagoshima Prefecture
304,Saint-Joseph
305,Banaadir Region
306,La Libertad
307,Costa Blanca
308,Walkers Cay
309,"On the Kowloon penisula, south of Sai Kung"
310,Ehime Prefecture
311,Tongapatu Group
312,West Africa
313,Wakaya Island
314,North Carolina 
315,Mexico / Caribbean Sea
316,Antarctic Ocean
317,La Saline-les-Bains
318,Sea of Japan
319,Tavenui
320,Ligurian Sea
321,L'Etang-Salé
322,Kowloon Peninsula
323,Port Shelter
324,Laucala Island
325,Sainte-Marie
326,Great Exuma Island
327,Sainte-Suzanne
328,Tuscany
329,Tyrrhenian Sea
330,New Ireland
331,Valpariso Province
332,Viscayan Sea
333,Manfredonia 
334,Tokyo Prefecture
335,Saint-Louis
336,Mindoro
337,Between DR and Puerto Rico
338,Between Honiara & Isabel Island
339,Florida Straits
340,Gulf of Lyons
341,Cádiz
342,Sicily
343,Andikira Fokithes
344,Central Philippines
345,Rhode Island
346,Northwest Italy
347,English Channel
348,North & South Carolina
349,Kumamoto Prefecture
350,Biserta
351,Saint-Philippe
352,Chungnam
353,Eronogo Region
354,Coquimbo
355,Pagasitikos Gulf
356,St. Mary's Parish
357,Romblon Province
358,Lamu Archipelago
359,Los Vilos
360,Island of Kos
361,Ha'api
362,Madeira Islands
363,Ho Ha Wan Marine Park
364,Southern Thailand
365,Golfo de Venezia
366,Ralik Archipelago
367,South China Sea 200 miles from Hong Kong
368,Reggio Calabria Province
369,Mirs Bay 
370,Genoa Province
371,Ganges-Brahmaputra delta
372, Split-Dalmatia County
373,Florida 
374,Primorje-Gorski Kotar County 
375,Aulong Island
376,Western Caroline Islands
377,Upolu Island
378,Antibes
379,Illeginni Atoll
380,Istria County
381,Between Beira & Maputo
382,Khuzestan Province
383,Inhambe Province
384,Namonuito Atoll
385,Eastern Caroline Islands
386,Western Caroline Islands (North Pacific Ocean)
387,Caribbean Sea
388,St. Andrew Parish
389,200 nm southeast of Manila
390,Limpopo River
391,New Ireland Province
392,Zadar County
393,Basrah
394,Clarendon
395,Moro Gulf
396,Johor
397,Magdalena Department
398,Mafia Island
399,Gulf Province
400,Morobe Province
401,Limón Province
402,Rombion Province
403,Veracruz
404,Brindisi Province
405,Kagawa Prefecture
406,Liguria
407,Hamilton
408,Out Islands
409,Mugla Province
410,Gibraltar
411,New Britain
412,Bay of Maputo
413,Duke of York Islands
414,Taranto province
415,Northern Taiwan
416,"Admiralty Islands, Manus Province"
417,North Sumatra
418,"250 miles southwest of O'ahu, Hawaii"
419,West coast
420,East Sepik
421,Near Bougainville (North Solomons)
422,East of the Gulf of Aqaba
423,Bougainville (North Solomons)
424,Victoria 
425,Okayama Prefecture
426,San Blas
427,Connecticut
428,Lau Group
429,Caribbean Coast
430,Vita Levu
431,San Blas Islands
432,Puntarenas Province
433,"Lomaloma, Lau"
434,Between Southampton & Canary Islands
435,"South Coast, East New Britain"
436, Lau Province
437,Ysabel Island
438,Santo Domingo
439,San Blas coast
440,Thessaly
441,Lomaiviti  Island Group
