,0
0,USA
1,AUSTRALIA
2,MEXICO
3,BRAZIL
4,ENGLAND
5,SOUTH AFRICA
6,THAILAND
7,COSTA RICA
8,MALDIVES
9,BAHAMAS
10,NEW CALEDONIA
11,ECUADOR
12,MALAYSIA
13,LIBYA
14,
15,CUBA
16,MAURITIUS
17,NEW ZEALAND
18,SPAIN
19,SAMOA
20,SOLOMON ISLANDS
21,JAPAN
22,EGYPT
23,"ST HELENA, British overseas territory"
24,COMOROS
25,REUNION
26,FRENCH POLYNESIA
27,UNITED KINGDOM
28,UNITED ARAB EMIRATES
29,PHILIPPINES
30,INDONESIA
31,CHINA
32,COLUMBIA
33,CAPE VERDE
34,Fiji
35,DOMINICAN REPUBLIC
36,CAYMAN ISLANDS
37,ARUBA
38,MOZAMBIQUE
39,FIJI
40,PUERTO RICO
41,ITALY
42,ATLANTIC OCEAN
43,GREECE
44,ST. MARTIN
45,FRANCE
46,PAPUA NEW GUINEA
47,TRINIDAD & TOBAGO
48,KIRIBATI
49,ISRAEL
50,DIEGO GARCIA
51,TAIWAN
52,JAMAICA
53,PALESTINIAN TERRITORIES
54,GUAM
55,SEYCHELLES
56,BELIZE
57,NIGERIA
58,TONGA
59,SCOTLAND
60,CANADA
61,CROATIA
62,SAUDI ARABIA
63,CHILE
64,ANTIGUA
65,KENYA
66,RUSSIA
67,TURKS & CAICOS
68,UNITED ARAB EMIRATES (UAE)
69,AZORES
70,SOUTH KOREA
71,MALTA
72,VIETNAM
73,MADAGASCAR
74,PANAMA
75,SOMALIA
76,NEVIS
77,BRITISH VIRGIN ISLANDS
78,NORWAY
79,SENEGAL
80,YEMEN
81,GULF OF ADEN
82,Sierra Leone
83,ST. MAARTIN
84,GRAND CAYMAN
85,Seychelles
86,LIBERIA
87,VANUATU
88,MEXICO 
89,HONDURAS
90,VENEZUELA
91,SRI LANKA
92, TONGA
93,URUGUAY
94,INDIA
95,MICRONESIA
96,CARIBBEAN SEA
97,OKINAWA
98,TANZANIA
99,MARSHALL ISLANDS
100,EGYPT / ISRAEL
101,NORTHERN ARABIAN SEA
102,HONG KONG
103,EL SALVADOR
104,ANGOLA
105,BERMUDA
106,MONTENEGRO
107,IRAN
108,TUNISIA
109,NAMIBIA
110,NORTH ATLANTIC OCEAN
111,PORTUGAL
112,SOUTH CHINA SEA
113,BANGLADESH
114,PALAU
115,WESTERN SAMOA
116,PACIFIC OCEAN 
117,BRITISH ISLES
118,GRENADA
119,IRAQ
120,TURKEY
121,SINGAPORE
122,NEW BRITAIN
123,SUDAN
124,JOHNSTON ISLAND
125,SOUTH PACIFIC OCEAN
126,NEW GUINEA
127,RED SEA
128,NORTH PACIFIC OCEAN
129,FEDERATED STATES OF MICRONESIA
130,MID ATLANTIC OCEAN
131,ADMIRALTY ISLANDS
132,BRITISH WEST INDIES
133,SOUTH ATLANTIC OCEAN
134,PERSIAN GULF
135,RED SEA / INDIAN OCEAN
136,PACIFIC OCEAN
137,NORTH SEA
138,NICARAGUA 
139,MALDIVE ISLANDS
140,AMERICAN SAMOA
141,ANDAMAN / NICOBAR ISLANDAS
142,GABON
143,MAYOTTE
144,NORTH ATLANTIC OCEAN 
145,THE BALKANS
146,SUDAN?
147,ARGENTINA
148,MARTINIQUE
149,INDIAN OCEAN
150,GUATEMALA
151,NETHERLANDS ANTILLES
152,NORTHERN MARIANA ISLANDS
153,IRAN / IRAQ
154,JAVA
155,SIERRA LEONE
156, PHILIPPINES
157,NICARAGUA
158,CENTRAL PACIFIC
159,SOLOMON ISLANDS / VANUATU
160,SOUTHWEST PACIFIC OCEAN
161,BAY OF BENGAL
162,MID-PACIFC OCEAN
163,SLOVENIA
164,CURACAO
165,ICELAND
166,ITALY / CROATIA
167,BARBADOS
168,MONACO
169,GUYANA
170,HAITI
171,SAN DOMINGO
172,IRELAND
173,KUWAIT
174,YEMEN 
175,REUNION ISLAND
176,FALKLAND ISLANDS
177,CRETE
178,CYPRUS
179,EGYPT 
180,WEST INDIES
181,BURMA
182,LEBANON
183,PARAGUAY
184,BRITISH NEW GUINEA
185,CEYLON
186,OCEAN
187,GEORGIA
188,SYRIA
189,TUVALU
190,INDIAN OCEAN?
191,GUINEA
192,ANDAMAN ISLANDS
193,EQUATORIAL GUINEA / CAMEROON
194,COOK ISLANDS
195,TOBAGO
196,PERU
197,AFRICA
198,ALGERIA
199,Coast of AFRICA
200,TASMAN SEA
201,GHANA
202,GREENLAND
203,MEDITERRANEAN SEA
204,SWEDEN
205,ROATAN
206,Between PORTUGAL & INDIA
207,DJIBOUTI
208,BAHREIN
209,KOREA
210,RED SEA?
211,ASIA?
212,CEYLON (SRI LANKA)
