Country,Area,Value
USA,California,158
USA,Georgia,277
USA,Hawaii,315
AUSTRALIA,New South Wales,497
MEXICO,Colima,195
AUSTRALIA,New South Wales,497
BRAZIL,Pernambuco,570
USA,Florida,263
USA,Florida,263
USA,Florida,263
AUSTRALIA,Queensland,589
USA,South Carolina,682
USA,South Carolina,682
ENGLAND,Cornwall,210
AUSTRALIA,Westerm Australia,803
SOUTH AFRICA,Eastern Cape Province,244
AUSTRALIA,New South Wales,497
THAILAND,Hua Hin,323
COSTA RICA,Cocos Island,194
AUSTRALIA,Western Australia,806
AUSTRALIA,New South Wales,497
AUSTRALIA,Western Australia,806
AUSTRALIA,Western Australia,806
MALDIVES,Alifu Alifu Atoll,60
SOUTH AFRICA,Western Cape Province,808
USA,Hawaii,315
THAILAND,Hua Hin,323
BRAZIL,Pernambuco,570
AUSTRALIA,Western Australia,806
AUSTRALIA,Western Australia,806
BAHAMAS,New Providence,493
BRAZIL,Alagoas,56
NEW CALEDONIA,UNKNOWN,763
BAHAMAS,UNKNOWN,763
SOUTH AFRICA,Eastern Cape Province,244
USA,Hawaii,315
AUSTRALIA,Western Australia,806
AUSTRALIA,Victoria,780
AUSTRALIA,Victoria,780
SOUTH AFRICA,KwaZulu-Natal,370
AUSTRALIA,New South Wales,497
AUSTRALIA,Victoria,780
AUSTRALIA,New South Wales,497
AUSTRALIA,Queensland,589
BRAZIL,"Boi Island, Victoria",144
ECUADOR,Galapagos Islands,269
AUSTRALIA,Western Australia,806
AUSTRALIA,Western Australia,806
NEW CALEDONIA,UNKNOWN,763
AUSTRALIA,Queensland,589
AUSTRALIA,New South Wales,497
BRAZIL,Fernando de Noronha,260
AUSTRALIA,Western Australia,806
USA,Hawaii,315
USA,California,158
MALAYSIA,Sepang,659
BAHAMAS,UNKNOWN,763
COSTA RICA,Cocos Island,194
COSTA RICA,Cocos Island,194
LIBYA,UNKNOWN,763
USA,California,158
USA,Florida,263
UNKNOWN,UNKNOWN,763
AUSTRALIA,New South Wales,497
CUBA,Holquin Province,319
AUSTRALIA,Queensland,589
AUSTRALIA,New South Wales,497
USA,Hawaii,315
MAURITIUS,Pamplemousses ,564
USA,Florida,263
USA,Florida,263
AUSTRALIA,South Australia,681
NEW ZEALAND,North Island,512
USA,Florida,263
USA,Hawaii,315
USA,Hawaii,315
SOUTH AFRICA,Western Cape Province,808
USA,Florida,263
AUSTRALIA,Western Australia,806
USA,New York,499
USA,Florida,263
USA,Florida,263
SPAIN,Canary Islands,163
USA,Florida,263
SOUTH AFRICA,Western Cape Province,808
SAMOA, Upolu Island,11
AUSTRALIA,Westerm Australia,803
USA,Florida,263
AUSTRALIA,Westerm Australia,803
AUSTRALIA,New South Wales,497
SOLOMON ISLANDS,UNKNOWN,763
SOUTH AFRICA,Western Cape Province,808
JAPAN,Shizuoka Prefecture,668
USA,Florida,263
USA,Texas,741
USA,Florida,263
AUSTRALIA,Victoria,780
USA,Florida,263
SPAIN,Castellón,175
NEW ZEALAND,North Island,512
USA,Massachusetts,438
BAHAMAS,UNKNOWN,763
USA,South Carolina,682
EGYPT,Red Sea Protectorate,600
USA,Massachusetts,438
USA,California,158
USA,Florida,263
USA,South Carolina,682
USA,South Carolina,682
BAHAMAS,New Providence District,495
BAHAMAS,40 miles off Grand Bahama Island,37
"ST HELENA, British overseas territory",Ascension Island,84
USA,New Jersey,491
SPAIN,Majorca,418
USA,Florida,263
USA,South Carolina,682
USA,California,158
USA,California,158
USA,Washington,796
AUSTRALIA,Western Australia,806
USA,California,158
USA,Florida,263
MEXICO,Tabasco,725
SOUTH AFRICA,Eastern Cape Province,244
COMOROS,Anjouan,72
USA,South Carolina,682
USA,South Carolina,682
USA,Florida,263
USA,South Carolina,682
REUNION,UNKNOWN,763
SPAIN,Ibiza Island,325
FRENCH POLYNESIA,Marquesas,435
BAHAMAS,UNKNOWN,763
AUSTRALIA,Western Australia,806
AUSTRALIA,Victoria,780
USA,Florida,263
UNITED KINGDOM,South Devon,688
USA,Florida,263
BAHAMAS,New Providence ,494
USA,South Carolina,682
USA,Florida,263
AUSTRALIA,New South Wales,497
UNITED ARAB EMIRATES,"Sharjah, ",662
AUSTRALIA,Queensland,589
MEXICO,Baja California Sur,93
USA,California,158
USA,California,158
SOUTH AFRICA,Western Cape Province,808
USA,South Carolina,682
REUNION,Saint-Leu,628
NEW ZEALAND,South Island,689
USA,Florida,263
"ST HELENA, British overseas territory",Ascension Island,84
USA,South Carolina,682
USA,Florida,263
AUSTRALIA,Western Australia,806
USA,Hawaii,315
USA,Florida,263
USA,Florida,263
SOUTH AFRICA,KwaZulu-Natal,370
USA,Florida,263
USA,Florida,263
USA,Florida,263
USA,Florida,263
USA,Florida,263
AUSTRALIA,Queensland,589
USA,Florida,263
USA,Florida,263
AUSTRALIA,New South Wales,497
USA,California,158
PHILIPPINES,Luzon Island,407
BAHAMAS,Great Exuma,291
AUSTRALIA,Western Australia,806
AUSTRALIA,Western Australia,806
REUNION,Saint-Andre,621
AUSTRALIA,Queensland,589
USA,Florida,263
BRAZIL,Pernambuco,570
SOUTH AFRICA,KwaZulu-Natal,370
USA,South Carolina,682
BAHAMAS,Bimini,134
BRAZIL,Pernambuco,570
USA,Florida,263
AUSTRALIA,Queensland,589
AUSTRALIA,Queensland,589
USA,Florida,263
INDONESIA,Bali,95
AUSTRALIA,Queensland,589
USA,Florida,263
AUSTRALIA,New South Wales,497
USA,Florida,263
AUSTRALIA,Western Australia,806
SOUTH AFRICA,Western Cape Province,808
AUSTRALIA,Western Australia,806
FRENCH POLYNESIA,Tuamotos,756
USA,Florida,263
AUSTRALIA,New South Wales,497
AUSTRALIA,New South Wales,497
AUSTRALIA,Victoria,780
USA,Hawaii,315
USA,Florida,263
USA,Florida,263
AUSTRALIA,New South Wales,497
USA,Hawaii,315
AUSTRALIA,Queensland,589
USA,Hawaii,315
MEXICO,UNKNOWN,763
AUSTRALIA,New South Wales,497
USA,Oregon,553
USA,Florida,263
USA,Florida,263
AUSTRALIA,New South Wales,497
USA,Florida,263
USA,Florida,263
USA,Florida,263
USA,California,158
AUSTRALIA,Victoria,780
AUSTRALIA,Victoria,780
AUSTRALIA,Western Australia,806
USA,Florida,263
USA,Hawaii,315
NEW CALEDONIA,North Province,515
USA,South Carolina,682
AUSTRALIA,Western Australia,806
USA,Florida,263
USA,California,158
MEXICO,UNKNOWN,763
USA,Florida,263
USA,Florida,263
REUNION,UNKNOWN,763
USA,Florida,263
BAHAMAS,New Providence Island,496
USA,Hawaii,315
USA,Florida,263
SPAIN,Alicante Province,59
CHINA,Hong Kong,320
AUSTRALIA,Western Australia,806
USA,Florida,263
AUSTRALIA,New South Wales,497
JAPAN,Kochi Prefecture,366
AUSTRALIA,Tasmania,734
BAHAMAS,Abaco Islands,46
AUSTRALIA,Queensland,589
USA,Alabama,55
USA,Florida,263
USA,Florida,263
USA,California,158
USA,South Carolina,682
BAHAMAS,UNKNOWN,763
SPAIN,Canary Islands,163
USA,California,158
USA,Massachusetts,438
USA,California,158
USA,Florida,263
AUSTRALIA,Queensland,589
USA,South Carolina,682
USA,North Carolina,508
COLUMBIA,Isla Provedencia,338
SOUTH AFRICA,Western Cape Province,808
USA,South Carolina,682
USA,Florida,263
USA,Hawaii,315
AUSTRALIA,Western Australia,806
USA,Texas,741
USA,North Carolina,508
USA,South Carolina,682
USA,Florida,263
AUSTRALIA,Western Australia,806
EGYPT,Suez,719
AUSTRALIA,New South Wales,497
NEW CALEDONIA,UNKNOWN,763
AUSTRALIA,Western Australia,806
USA,California,158
USA,Florida,263
USA,Florida,263
USA,Florida,263
USA,Florida,263
USA,Florida,263
USA,Florida,263
USA,Hawaii,315
NEW ZEALAND,North Island,512
INDONESIA,Bali,95
USA,Florida,263
SOUTH AFRICA,Western Cape Province,808
AUSTRALIA,New South Wales,497
FRENCH POLYNESIA,Tuamotos,756
FRENCH POLYNESIA,Tuamotos,756
USA,Florida,263
NEW CALEDONIA,Grand Terre,288
CAPE VERDE,Boa Vista Island,140
USA,Florida,263
USA,Florida,263
USA,Hawaii,315
AUSTRALIA,New South Wales,497
USA,Florida,263
AUSTRALIA,New South Wales,497
BAHAMAS,UNKNOWN,763
USA,California,158
USA,Florida,263
Fiji,Vanua Levu,773
USA,Florida,263
AUSTRALIA,South Australia,681
BRAZIL,Santa Catarina State,648
NEW CALEDONIA,South Province,694
NEW CALEDONIA,South Province,694
DOMINICAN REPUBLIC,Altagracia Province,63
CAYMAN ISLANDS,Grand Cayman,287
AUSTRALIA,Tasmania,734
AUSTRALIA,Queensland,589
AUSTRALIA,New South Wales,497
BRAZIL,Balneário Camboriú,96
SOUTH AFRICA,KwaZulu-Natal,370
USA,Hawaii,315
USA,Hawaii,315
USA,Texas,741
UNITED ARAB EMIRATES,Fujairah Emirate,268
USA,Hawaii,315
AUSTRALIA,Queensland,589
AUSTRALIA,Queensland,589
AUSTRALIA,Queensland,589
SOUTH AFRICA,KwaZulu-Natal,370
SPAIN,Grand Canary Island,286
USA,Hawaii,315
AUSTRALIA,New South Wales,497
BRAZIL,Pernambuco,570
ARUBA,UNKNOWN,763
AUSTRALIA,New South Wales,497
BAHAMAS,UNKNOWN,763
SOUTH AFRICA,Eastern Cape Province,244
ECUADOR,Galapagos Islands,269
USA,Florida,263
USA,Florida,263
USA,Florida,263
AUSTRALIA,New South Wales,497
USA,Florida,263
USA,Hawaii,315
USA,Florida,263
MOZAMBIQUE,Inhambane Province,333
AUSTRALIA,Western Australia,806
USA,Hawaii,315
SOUTH AFRICA,Western Cape Province,808
USA,Florida,263
USA,Florida,263
MOZAMBIQUE,Inhambane Province,333
USA,Hawaii,315
USA,Hawaii,315
USA,California,158
