,Country,Area,Prediction,Actual
0,AUSTRALIA,Western Australia,N,UNKNOWN
1,USA,Florida,N,N
2,USA,Hawaii,N,N
3,UNKNOWN,Western Banks,N,Y
4,AUSTRALIA,Western Australia,N,Y
5,SOUTH AFRICA,Western Cape Province,N,N
6,FIJI,Off Vanua Levu,N,Y
7,SOUTH AFRICA,Western Cape Province,N,N
8,USA,North Carolina,N,Y
9,SOUTH AFRICA,KwaZulu-Natal,N,N
10,AUSTRALIA,New South Wales,N,N
11,USA,Oregon,N,N
12,NEW ZEALAND,North Island,N,N
13,PAPUA NEW GUINEA,Bougainville (North Solomons),N,N
14,AUSTRALIA,South Australia,N,N
15,SOUTH AFRICA,KwaZulu-Natal,N,N
16,BRAZIL,Pernambuco,N,N
17,USA,Hawaii,N,N
18,CROATIA," Split-Dalmatia Count,",N,N
19,PAPUA NEW GUINEA,Western Papuan Gulf,N,N
20,USA,California,N,Y
21,AUSTRALIA,Torres Strait,N,Y
22,AUSTRALIA,New South Wales,N,N
23,TONGA,Ha'api,N,N
24,SOUTH AFRICA,Eastern Cape Province,N,N
25,REUNION,Saint-Philippe,N,N
26,CUBA,Guantanamo Province,N,Y
27,USA,Texas,N,Y
28,AUSTRALIA,Queensland,N,N
29,USA,South Carolina,N,N
30,CUBA,Villa Clara Province,N,Y
31,PANAMA,Caribbean Coast,N,N
32,SOUTH AFRICA,Eastern Cape Province,N,N
33,USA,Florida,N,N
34,SOUTH AFRICA,Western Cape Province,N,N
35,USA,California,N,N
36,SOUTH AFRICA,KwaZulu-Natal,N,Y
37,AUSTRALIA,South Australia,N,N
38,USA,Florida,N,N
39,USA,Florida,N,Y
40,EGYPT,Red Sea,N,N
41,USA,Florida,N,N
42,MALDIVES,Alifu Alifu Atoll,N,N
43,USA,California,N,N
44,NEW CALEDONIA,UNKNOWN,N,Y
45,PHILIPPINES,Luzon Island,N,Y
46,NEW CALEDONIA,UNKNOWN,N,N
47,NEW CALEDONIA,UNKNOWN,N,N
48,USA,Florida,N,N
49,USA,Florida,N,N
50,AUSTRALIA,New South Wales,N,UNKNOWN
51,USA,Florida,N,N
52,USA,North Carolina,N,N
53,AUSTRALIA,Queensland,N,Y
54,SOUTH AFRICA,Eastern Cape Province,N,N
55,USA,New Jersey,N,N
56,AUSTRALIA,New South Wales,N,N
57,SOUTH AFRICA,KwaZulu-Natal,N,N
58,USA,Florida,N,N
59,USA,Florida,N,N
60,USA,Alabama,N,N
61,USA,Hawaii,N,N
62,SOUTH AFRICA,KwaZulu-Natal,N,N
63,MARSHALL ISLANDS,Ratak ,N,Y
64,NEW CALEDONIA,UNKNOWN,N,N
65,AUSTRALIA,Victoria,N,N
66,USA,Florida,N,N
67,AUSTRALIA,Queensland,N,N
