Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
158,830,0,50,2407,N,219,1278
277,1109,0,2,2215,N,284,1268
315,1153,1,40,1407,N,35,1268
497,1153,1,80,2217,N,284,237
195,579,1,80,1706,N,284,1222
497,745,1,80,2611,N,284,1268
570,1190,1,9,670,Y,269,1153
263,417,1,45,2201,N,284,822
263,1442,1,6,2093,N,201,710
263,1109,1,3,2198,N,147,1268
589,365,1,24,2151,N,278,771
682,173,1,1,1385,N,284,1268
682,1190,1,1,3306,N,163,1268
210,417,1,12,1357,N,41,802
803,365,0,26,3369,N,284,1121
244,1153,1,80,2240,N,82,1268
497,1153,1,80,2846,N,74,1063
323,1190,1,80,2188,N,284,1268
194,939,1,22,2733,N,76,1153
806,1153,1,80,2674,N,199,1268
497,1153,1,80,2368,N,25,966
806,1153,1,54,2674,N,56,340
806,1153,1,80,2804,N,255,1364
60,417,1,24,197,N,245,1153
808,827,1,25,2722,N,59,1334
315,155,1,20,1759,N,284,491
323,1190,1,47,1637,N,284,803
570,1190,1,26,2329,UNKNOWN,284,1268
806,1153,1,33,1543,N,284,1268
806,1153,1,29,1708,N,38,1268
493,1153,1,80,2355,N,56,1153
56,417,1,49,1401,N,284,1063
763,1479,3,80,2715,N,201,237
763,1190,1,3,88,N,219,667
244,1153,1,10,1689,N,163,1278
315,1108,1,16,1392,N,56,1176
806,1423,1,1,2177,N,210,1468
780,1190,1,63,2706,N,172,374
780,1153,1,9,2234,N,32,164
370,936,1,30,16,N,284,587
497,1190,0,48,1796,N,284,807
780,734,1,26,3445,N,280,1268
497,1442,1,27,3035,N,185,684
589,1190,0,80,589,N,219,962
144,209,0,38,1600,N,284,800
269,1036,1,37,1389,N,284,748
806,1045,1,5,2385,N,284,324
806,1409,1,9,1391,N,38,667
763,1045,1,80,1361,N,172,695
589,274,1,80,3332,N,165,779
497,579,1,19,2811,N,284,1364
260,1153,1,11,2210,N,269,1533
806,1153,1,80,1131,N,284,1488
315,1153,0,47,3348,N,219,1153
158,1153,0,27,1131,N,103,1268
659,429,1,15,2226,N,284,806
763,1036,0,16,2189,N,284,907
194,936,1,17,3292,N,284,1253
194,939,0,41,670,Y,284,1253
763,13,3,80,670,Y,284,1102
158,1045,1,16,3217,N,142,1410
263,1153,0,5,1289,N,269,1268
763,1153,1,15,3029,N,284,1268
497,1153,1,16,3039,N,185,237
319,802,1,13,670,Y,249,1153
589,1036,1,64,553,N,284,734
497,1153,1,23,2198,N,51,1470
315,1108,1,80,2377,N,163,1268
564,1190,1,80,2198,N,255,1268
263,1154,1,8,1677,N,201,1268
263,1190,0,54,3346,N,38,1268
681,738,0,6,2166,N,255,1403
512,735,1,80,2796,N,51,237
263,1190,1,80,3005,N,154,1112
315,1153,1,47,1685,N,226,1246
315,1036,0,32,257,N,110,522
808,936,1,23,670,UNKNOWN,284,738
263,1153,1,80,1715,N,278,464
806,1153,1,80,2618,N,219,1364
499,1153,1,25,1731,UNKNOWN,172,966
263,1153,1,80,1552,N,147,419
263,1153,1,80,2286,N,278,1268
163,160,1,4,1739,N,284,927
263,1153,1,19,1677,N,195,1268
808,936,1,16,779,UNKNOWN,255,1268
11,417,1,80,1375,N,280,1268
803,417,3,80,3734,N,284,1369
263,1153,1,9,1677,N,228,467
803,1190,1,80,2166,N,163,1268
497,1153,1,27,2284,N,17,1363
763,1045,1,80,1131,N,284,1268
808,1325,1,80,670,Y,278,1268
668,1153,1,34,1399,N,64,1268
263,1190,1,80,1601,N,284,877
741,1190,0,80,1635,N,284,1268
263,1153,1,8,2220,N,78,1268
780,1153,1,29,2611,N,74,1351
263,1423,0,21,2034,N,130,1268
175,1190,0,2,1677,UNKNOWN,275,1081
512,192,1,80,2718,N,284,1268
438,924,1,63,2899,N,64,1427
763,1045,1,80,1238,N,163,464
682,1190,1,4,2164,N,136,953
600,1036,0,11,397,N,284,912
438,417,1,26,1137,N,249,415
158,738,1,80,2623,N,79,1296
263,1020,1,6,1718,N,226,1268
682,1190,1,1,263,UNKNOWN,163,561
682,1409,0,3,396,N,255,1268
495,1036,0,80,1116,N,284,1268
37,1045,1,80,3345,N,284,1268
84,1153,1,29,3675,N,201,1268
491,1409,0,80,2202,N,284,1045
418,1190,0,80,251,N,255,610
263,1409,0,32,1131,N,110,27
682,1190,0,73,1149,UNKNOWN,284,1063
158,735,1,32,2666,N,88,1301
158,924,1,43,2729,N,35,1448
796,1153,1,80,2984,N,226,1449
806,1153,1,80,2237,N,94,1268
158,735,1,80,2666,N,82,1278
263,1190,1,38,2116,N,172,702
725,417,1,24,1232,N,284,1175
244,1153,0,4,2740,N,163,1334
72,417,3,80,3498,UNKNOWN,284,1070
682,417,1,80,341,UNKNOWN,236,873
682,1190,0,7,1865,N,284,1268
263,1153,1,80,48,N,278,1268
682,1190,0,5,2004,N,284,702
763,155,1,26,2741,N,64,693
325,1190,1,75,104,N,103,1268
435,1153,1,80,1374,N,284,1268
763,365,0,80,1098,N,284,1268
806,155,1,40,2611,N,43,1385
780,1153,0,80,2673,N,176,1051
263,1153,1,10,1500,N,64,1268
688,1154,1,22,505,N,284,403
263,1045,1,80,1544,N,284,522
494,1036,0,24,3180,N,284,1153
682,1386,0,11,3196,N,284,354
263,365,1,80,1732,N,278,1153
497,418,1,68,255,N,284,1268
662,1045,1,33,3235,N,278,1268
589,93,1,20,3621,N,284,530
93,1036,1,25,670,Y,201,1268
158,1153,0,9,1549,UNKNOWN,154,1061
158,1190,0,80,2136,N,209,1268
808,1153,1,5,2219,N,203,1268
682,1153,0,25,1865,N,82,1268
628,155,1,19,670,Y,87,1268
689,155,0,80,3003,N,147,1268
263,849,0,80,283,UNKNOWN,284,874
84,1036,0,32,540,N,185,1268
682,1190,1,80,1448,UNKNOWN,47,1063
263,1409,3,80,2152,N,255,1268
806,1153,0,8,670,Y,185,1278
315,1153,1,19,2132,N,51,1176
263,1153,1,8,1739,N,136,1268
263,1153,0,80,1739,N,142,1268
370,936,1,62,1074,UNKNOWN,284,1070
263,1153,0,27,546,N,185,1268
263,825,0,1,1473,N,213,1268
263,1190,0,12,2212,N,201,1268
263,1190,1,7,1149,N,284,1268
263,1190,0,44,3622,N,124,1268
589,731,1,31,2727,N,255,1268
263,1190,0,8,1783,N,163,709
263,1153,1,51,2209,N,64,1268
497,155,1,22,2146,N,226,1268
158,735,1,80,2666,N,154,1278
407,1045,1,16,3275,N,284,184
291,1464,1,51,261,N,284,809
806,1036,0,80,1225,N,278,674
806,1153,1,80,2799,N,278,1268
621,155,1,17,1068,Y,56,1268
589,1045,1,17,1954,N,69,1268
263,1190,1,13,1404,N,136,1268
570,642,0,80,2197,N,255,812
370,733,1,80,3404,N,284,1153
682,1336,3,80,3378,N,284,1455
134,936,1,29,1794,N,284,722
570,1190,1,12,2258,N,131,1268
263,1409,1,80,3041,N,147,1268
589,936,1,48,2316,N,103,700
589,1190,1,50,1404,N,136,1268
263,1409,1,80,2202,N,278,1268
95,1153,1,40,1415,N,32,671
589,1045,1,27,2360,UNKNOWN,284,667
263,1423,1,39,2170,N,110,1268
497,1423,1,11,2171,UNKNOWN,219,1063
263,1153,1,7,1741,N,201,1268
806,1036,0,80,527,N,278,1507
808,1150,1,48,2638,N,25,1385
806,579,1,55,3069,N,56,1268
756,417,1,80,1240,N,284,1268
263,1153,1,10,606,UNKNOWN,255,1063
497,1144,1,11,1617,N,6,1480
497,1153,1,59,1373,N,51,1278
780,417,1,68,1538,N,82,627
315,553,0,51,1387,N,74,1153
263,1153,1,33,1740,N,255,1268
263,1153,1,34,1747,N,255,1268
497,1153,1,28,1697,N,32,1268
315,1153,1,28,1818,N,201,2
589,1153,1,80,3682,N,219,1268
315,1036,0,60,1378,N,61,1268
763,186,1,80,3393,UNKNOWN,284,1278
497,1153,1,16,2300,N,74,1268
553,1153,1,20,3720,N,185,1268
263,1153,1,12,605,N,90,1268
263,1182,1,24,2166,N,208,1268
497,1153,1,8,163,N,253,1364
263,1153,1,7,2225,N,124,1268
263,1153,1,28,1655,N,82,1268
263,1153,1,35,1718,N,77,1268
158,1153,1,35,2611,N,284,1268
780,1153,1,80,3541,N,284,1268
780,1153,1,80,2879,N,284,237
806,417,3,80,3442,N,284,1268
263,1423,1,80,2189,N,168,360
315,1190,0,44,3357,N,154,1170
515,745,1,43,670,Y,174,1268
682,173,0,3,1567,N,269,1268
806,1153,1,80,2889,N,269,1268
263,155,1,79,1131,N,284,1268
158,1045,1,13,3692,N,284,1448
763,186,3,80,2393,UNKNOWN,284,801
263,1153,1,16,1739,N,163,710
263,1153,1,29,2188,N,147,1268
763,1153,1,11,3130,N,201,697
263,1423,1,41,2188,N,185,1268
496,1036,1,6,1690,N,284,1268
315,925,1,12,2890,N,195,1171
263,1153,1,13,392,N,284,587
59,1190,1,32,1747,N,90,609
320,1190,1,67,1701,N,284,1268
806,735,1,80,2786,N,284,1278
263,766,1,35,1502,N,284,901
497,1153,1,9,2871,N,103,1268
366,1153,1,20,1690,N,231,1268
734,1153,1,28,552,N,284,1268
46,1045,1,80,1632,N,284,710
589,417,1,23,1499,N,284,1518
55,492,3,80,2745,N,284,1171
263,1153,0,79,2216,N,123,1268
263,1409,0,2,2227,N,82,1268
158,745,1,55,2617,N,201,1298
682,1190,1,80,3030,N,284,1268
763,936,1,80,1065,N,284,829
163,1423,0,1,194,N,284,570
158,462,1,80,2870,N,284,1278
438,417,1,52,1088,N,64,1510
158,456,1,80,2870,N,284,1278
263,1190,0,34,537,N,284,1268
589,417,1,26,3276,N,246,1120
682,1409,1,27,2184,N,192,360
508,1153,1,2,1149,N,155,1268
338,936,1,52,3307,N,82,724
808,1045,1,35,1380,N,284,1278
682,553,1,34,1577,N,171,361
263,1423,1,80,1386,N,161,1268
315,1153,1,80,3493,N,17,360
806,1045,1,10,2381,N,284,464
741,559,0,53,1410,N,208,360
508,1109,1,10,1553,N,163,354
682,1153,1,18,2617,UNKNOWN,90,1036
263,1190,1,58,2004,N,43,1268
806,274,0,54,670,Y,90,362
719,1190,1,14,2063,N,278,838
497,1045,1,80,2637,UNKNOWN,284,665
763,745,1,80,1491,N,255,340
806,1153,1,20,670,Y,185,1278
158,1190,0,45,1365,N,185,1268
263,1190,1,4,1411,N,176,464
263,1190,0,50,3051,N,103,1268
263,1190,0,13,1573,N,219,702
263,1190,0,2,385,N,214,1268
263,1190,1,40,296,N,279,597
263,1342,0,14,339,N,131,892
315,553,1,52,2285,N,177,1268
512,417,1,31,1137,N,255,843
