Area,Activity,Sex ,Age,Injury,Fatal(Y/N),Time,Species 
California,Paddling,F,57,Non_Fatal,N,Evening,White shark
Pernambuco,Swimming,M,18,FATAL,Y,Evening,Tiger shark
Florida,Walking,M,15,Non_Fatal,N,Evening,"Bull shark, 6'"
Queensland,Feeding sharks,M,32,Non_Fatal,N,Morning,Grey reef shark
Cornwall,Fishing,M,21,Non_Fatal,N,Morning,Invalid incident
Cocos Island,Scuba diving,M,30,Non_Fatal,N,Morning,Tiger shark
Western Australia,Surfing,M,60,Non_Fatal,N,Morning,3 m shark
Alifu Alifu Atoll,Fishing,M,32,Non_Fatal,N,Evening,Tiger shark
Western Cape Province,Paddle-skiing,M,33,Non_Fatal,N,Morning,"White shark, 2.5 m"
Eastern Cape Province,Surfing,M,19,Non_Fatal,N,Afternoon,White shark
Hawaii,Stand-Up Paddleboarding,M,25,Non_Fatal,N,Morning,"Tiger shark, 12'"
Western Australia,Wading,M,10,Non_Fatal,N,Evening,Wobbegong shark
Victoria,Swimming,M,69,Non_Fatal,N,Afternoon,3.5 m shark
Victoria,Surfing,M,18,Non_Fatal,N,Morning,1.8 m shark
New South Wales,Swimming,F,55,Non_Fatal,N,Evening,"Juvenile white shark,  2.7 to 3.2 m"
New South Wales,Walking,M,35,Non_Fatal,N,Afternoon,"Bull shark, 2 m"
Fernando de Noronha,Surfing,M,20,Non_Fatal,N,Evening,small shark
Hawaii,Surfing,F,54,Non_Fatal,N,Evening,Tiger shark
California,Spearfishing,M,25,Non_Fatal,N,Afternoon,"White shark, 4.6 m"
New South Wales,Surfing,M,25,Non_Fatal,N,Afternoon,2 m shark
Holquin Province,Night bathing,M,22,FATAL,Y,Evening,Tiger shark
New South Wales,Surfing,M,31,Non_Fatal,N,Morning,"Wobbegong shark, 1 m"
South Australia,Kayaking / Fishing,F,15,Non_Fatal,N,Afternoon,"White shark, 4.5 m"
Hawaii,Surfing,M,54,Non_Fatal,N,Evening,"Tiger shark, 8 to 10 feet"
Hawaii,Snorkeling,F,40,Non_Fatal,N,Afternoon,8' shark
Florida,Surfing,M,18,Non_Fatal,N,Evening,5' to 6' shark
New South Wales,Surfing,M,35,Non_Fatal,N,Morning,"White shark, 3 to 3.5m "
Victoria,Surfing,M,37,Non_Fatal,N,Morning,"White shark, 3 m"
Massachusetts,SUP,M,69,Non_Fatal,N,Morning,"White shark, 5' to 7'"
South Carolina,Swimming,M,13,Non_Fatal,N,Afternoon,Possibly a juvenile blacktip shark
Massachusetts,Fishing,M,34,Non_Fatal,N,Evening,4' shark
California,Kayaking,M,40,Non_Fatal,N,Morning,"White shark, 11' to 13'"
California,SUP,M,50,Non_Fatal,N,Morning,"White shark, 8' to 10'"
Florida,Swimming,M,46,Non_Fatal,N,Afternoon,"Bull shark, 4' to 5'"
Eastern Cape Province,Surfing,F,13,Non_Fatal,N,Afternoon,"White shark, 2.5 m"
Western Australia,Body boarding,M,48,Non_Fatal,N,Morning,"White shark, 4 m"
New Providence ,Snorkeling,F,32,Non_Fatal,N,Morning,Tiger shark
Western Australia,Surfing,F,17,FATAL,Y,Afternoon,White shark
Hawaii,Surfing,M,28,Non_Fatal,N,Morning,"Tiger shark, 12'"
Florida,Swimming,F,17,Non_Fatal,N,Afternoon,"Bull shark, 5' to 7'"
Queensland,Scuba Diving,M,55,Non_Fatal,N,Afternoon,"Bull shark, 4 m"
Bali,Surfing,M,48,Non_Fatal,N,Morning,"Bull shark, 1 m"
Western Cape Province,Surf skiing ,M,55,Non_Fatal,N,Morning,"White shark, 4 m"
New South Wales,Surf fishing,M,20,Non_Fatal,N,Morning,"Wobbegong shark, 2m"
New South Wales,Surfing,M,65,Non_Fatal,N,Morning,White shark
Victoria,Fishing,M,73,Non_Fatal,N,Morning,"Broadnose sevengill shark, 1.5 m"
Hawaii,Floating,F,58,Non_Fatal,N,Morning,Tiger shark
Hawaii,Surfing,M,36,Non_Fatal,N,Evening, 6' to 8' shark
New South Wales,Surfing,M,17,Non_Fatal,N,Afternoon,"White shark, 3.5 m"
Florida,Wading,M,60,Non_Fatal,N,Afternoon,3' to 4' shark
Hawaii,Swimming,F,51,Non_Fatal,N,Afternoon,"Tiger shark, 10'"
Florida,Surfing,M,25,Non_Fatal,N,Afternoon,"Bull shark, 6'"
Hawaii,SUP Foil boarding,M,21,Non_Fatal,N,Afternoon,"Tiger shark, 10' "
Alicante Province,Swimming,M,40,Non_Fatal,N,Morning,Blue shark
Queensland,Fishing,M,31,Non_Fatal,N,Afternoon,"reef shark, 1m"
California,Kite surfing,M,61,Non_Fatal,N,Evening,"White shark, 10' to 12'"
Massachusetts,Fishing,M,59,Non_Fatal,N,Morning,dogfish shark
Queensland,Fishing,M,34,Non_Fatal,N,Evening,Tawny nurse shark
Isla Provedencia,Scuba Diving,M,59,Non_Fatal,N,Morning,"Caribbean reef shark, 4.5'"
South Carolina,Floating,M,42,Non_Fatal,N,Afternoon,3' to 5' shark
Texas,Floating in tube,F,6,Non_Fatal,N,Evening,3' to 4' shark
North Carolina,Standing,M,19,Non_Fatal,N,Afternoon,3' shark
Western Australia,Diving,F,60,FATAL,Y,Morning,3+ m shark
Suez,Swimming,M,23,Non_Fatal,N,Morning,Mako shark
Western Australia,Surfing,M,29,FATAL,Y,Afternoon,White shark
Florida,Swimming,M,13,Non_Fatal,N,Afternoon,5' shark
Florida,Swimming,F,22,Non_Fatal,N,Evening,"Bull shark, 4' to 5'"
Florida,Swimming,M,48,Non_Fatal,N,Morning,"Blacktip shark, 4'"
Florida,Teasing a shark,F,23,Non_Fatal,N,Afternoon,"Nurse shark, 2'"
North Island,Fishing,M,39,Non_Fatal,N,Afternoon,"Mako shark, 1.5 m [5'] "
Bali,Surfing,M,24,Non_Fatal,N,Morning,"Bull shark, 6'"
New South Wales,Swimming,M,12,Non_Fatal,N,Afternoon,Wobbegong shark
Tuamotos,Spearfishing,M,22,Non_Fatal,N,Morning,"Grey reef shark, 2 m"
Tuamotos,Spearfishing,M,26,Non_Fatal,N,Morning,"Grey reef shark, 2 m"
Grand Terre,Walking,F,69,FATAL,Y,Morning,"Tiger shark, 2.5 m"
Hawaii,Paddle boarding,M,48,Non_Fatal,N,Morning,"Tiger shark, 14'"
Queensland,Wading,M,11,Non_Fatal,N,Afternoon,Blacktip shark
Queensland,Spearfishing,M,31,Non_Fatal,N,Morning,3 m shark
Hawaii,Paddle boarding,M,71,Non_Fatal,N,Morning,9' shark
New South Wales,Surfing,M,43,Non_Fatal,N,Morning,"Bronze whaler shark, 6'"
Galapagos Islands,Snorkeling,M,55,Non_Fatal,N,Morning,Galapagos shark
New South Wales,Surfing,M,20,Non_Fatal,N,Evening,"Bull shark, 2.8 to 3.1 m"
Florida,Wading,F,28,Non_Fatal,N,Afternoon,3' to 5' shark
Western Cape Province,Surfing,M,42,Non_Fatal,N,Afternoon,"White shark, 3 to 3.5m "
Florida,Surfing,M,21,Non_Fatal,N,Afternoon,5' shark
Florida,Surfing,M,21,Non_Fatal,N,Afternoon,"Spinner shark, 5'"
Hawaii,Swimming,M,44,Non_Fatal,N,Morning,"Tiger shark, 7'"
Hawaii,Surfing,M,25,Non_Fatal,N,Morning,"Tiger shark, 13' "
Texas,Wading,M,13,Non_Fatal,N,Morning,4' to 5' shark
Florida,Surfing,M,14,Non_Fatal,N,Morning,"Blacktip shark, 4' to 5'"
Florida,Surfing,M,22,Non_Fatal,N,Afternoon,"Blacktip shark, 5' to 6'"
Florida,Surfing,M,14,Non_Fatal,N,Afternoon,juvenile shark
Hawaii,Spearfishing,M,27,Non_Fatal,N,Afternoon,"Tiger shark, 13'"
Florida,Wading,M,12,Non_Fatal,N,Afternoon,4' shark
New South Wales,Surfing,M,42,Non_Fatal,N,Morning,6' shark
California,Stand-Up Paddleboarding,F,50,Non_Fatal,N,Evening,"White shark, 11' to 12'"
California,Kayak Fishing,M,29,Non_Fatal,N,Afternoon,Hammerhead shark.
New South Wales,Surf-skiing,M,62,Non_Fatal,N,Morning,"White shark, 2.5 m"
Phuket,Wading,F,37,Non_Fatal,N,Morning,small shark
California,Surfing,F,54,Non_Fatal,N,Morning,"White shark, 11' to 12'"
California,Surfing,M,21,Non_Fatal,N,Morning,"White shark, 10' to 12' "
South Carolina,Surfing,M,15,Non_Fatal,N,Afternoon,4' shark
Florida,Walking,F,10,Non_Fatal,N,Afternoon,3' shark
California,Kayak Fishing,M,22,Non_Fatal,N,Morning,"White shark, 13'"
California,Spearfishing,M,57,Non_Fatal,N,Morning,Hammerhead shark. 6' to 7'
New South Wales,Surfing,M,52,Non_Fatal,N,Morning,White shark
Florida,Surfing,M,25,Non_Fatal,N,Evening,"Blacktip or spinner shark, 4'"
Tasmania,Scallop diving on hookah,M,46,FATAL,Y,Morning,"White shark, 3.9 to 4.2 m"
California,Surfing,M,38,Non_Fatal,N,Morning,"White shark, 7'"
New South Wales,Surfing,M,52,Non_Fatal,N,Morning,White shark
New South Wales,Body boarding ,M,32,Non_Fatal,N,Morning,White shark
North Carolina,Swimming,M,68,Non_Fatal,N,Afternoon,6' to 7' shark
South Carolina,Playing in the water,M,12,Non_Fatal,N,Evening,4' to 5' shark
North Carolina,Swimming,M,18,Non_Fatal,N,Afternoon,Bull shark
Western Cape Province,Body Boarding,M,19,Non_Fatal,N,Afternoon,White shark
Western Cape Province,Surfing,M,23,Non_Fatal,N,Afternoon,"White shark, 2m to 3 m"
South Carolina,Standing,M,43,Non_Fatal,N,Morning,4' shark
North Carolina,Swimming,M,6,Non_Fatal,N,Afternoon,Sandtiger shark
Western Australia,Surfing,F,37,Non_Fatal,N,Morning,White shark
North Carolina,Wading,M,16,Non_Fatal,N,Evening,Bull shark
North Carolina,Wading,F,12,Non_Fatal,N,Afternoon,Bull shark
North Carolina,Boogie boarding,F,13,Non_Fatal,N,Afternoon,4' shark
Florida,Playing,M,11,Non_Fatal,N,Morning,"Bull shark, 5'"
Le Port,Surfing,M,47,Non_Fatal,N,Afternoon,"Bull shark, 2.5 m"
Rangiroa,Spearfishing,M,19,Non_Fatal,N,Morning,1m to 1.2 m shark
Florida,Surfing,M,18,Non_Fatal,N,Morning,5' shark
Eastern Cape Province,Diving,M,29,Non_Fatal,N,Afternoon,"White shark, 3.5 m"
Florida,Wading,M,63,Non_Fatal,N,Afternoon,3- to 4-foot shark
South Australia,Surfing,M,26,Non_Fatal,N,Morning,"White shark, 6 m"
New South Wales,Surf skiing ,M,71,Non_Fatal,N,Morning,"White shark, 3 m"
Saint-Gilles-les-Bains,Surfing,M,13,FATAL,Y,Morning,Bull shark
Florida,Spearfishing,M,70,Non_Fatal,N,Afternoon,Bull shark
Hawaii,Standing / Snorkeling,M,58,Non_Fatal,N,Morning,"Tiger shark, 8 to 12 feet"
Bora Bora,Hand feeding sharks,M,9,Non_Fatal,N,Morning,Blacktip shark
dâ€™Ã‰tang-SalÃ©,Swimming,F,22,FATAL,Y,Evening,"Tiger shark, 3.5 m"
