Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,,
California,Paddling,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,18h00,White shark,,
Georgia,Standing,F,11,Minor injury to left thigh,N,14h00  -15h00,,,
Hawaii,Surfing,M,48,Injury to left lower leg from surfboard skeg,N,07h45,,,
New South Wales,Surfing,M,,Minor injury to lower leg,N,,2 m shark,,
Colima,Free diving,M,,Lacerations to leg & hand shark PROVOKED INCIDENT,N,,"Tiger shark, 3m",,
New South Wales,Kite surfing,M,,"No injury, board bitten",N,,,,
Pernambuco,Swimming,M,18,FATAL,Y,Late afternoon,Tiger shark,,
Florida,Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,,"Lemon shark, 3'",,
Florida,Walking,M,15,Lower left leg bitten,N,17h00,"Bull shark, 6'",,
Florida,Standing,M,12,Minor injury to foot,N,14h00,,,
Queensland,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,Grey reef shark,,
South Carolina,Boogie boarding,M,10,Injuries to lower right leg and foot,N,,,,
South Carolina,Swimming,M,10,Severe bite to right forearm,N,15h00,,,
Cornwall,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08h15,Invalid incident,,
Westerm Australia,Feeding sharks,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,,"Tawny nurse shark, 2m",,
Eastern Cape Province,Surfing,M,,"Minor injury, marks on board",N,11h00,,,
New South Wales,Surfing,M,,"No injury, surfboard damaged",N,10h30,Shark involvement not confirmed,,
Hua Hin,Swimming,M,,Minor injury to ankle,N,,,,
Cocos Island,Scuba diving,M,30,"No injury, shark bit scuba gear",N,10h40,Tiger shark,,
Western Australia,Surfing,M,,"No injury, knocked off board by shark",N,16h50,,,
New South Wales,Surfing,M,,No injury,N,07h00,Questionable,,
Western Australia,Surfing,M,60,"No injury, knocked off board by shark",N,09h30,3 m shark,,
Western Australia,Surfing,M,,"No injury, shark struck his leg",N,Afternoon,"White shark, 3.5 m",,
Alifu Alifu Atoll,Fishing,M,32,5-inch cut to hand,N,21h50,Tiger shark,,
Western Cape Province,Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,09h40,"White shark, 2.5 m",,
Hawaii,Body boarding,M,29,Lacerations to right lower leg,N,,6' shark,,
Hua Hin,Swimming,M,54,Lacerations to foot and ankle,N,,Juvenile bull shark,,
Pernambuco,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,,,,
Western Australia,Surfing,M,41,Laceration to right thigh,N,,,,
Western Australia,Surfing,M,37,Lacerations to legs,N,08h00,,,
New Providence,Surfing,M,,No Injury. Shark swam away with the surf board,N,09h30,Tiger shark,,
