CleanArea,CombinedArea,Country,lat,lng
California,"California, USA",USA,36.7014631,-118.7559974
Georgia,"Georgia, USA",USA,32.3293809,-83.1137366
Hawaii,"Hawaii, USA",USA,19.5872677,-155.4268897
New South Wales,"New South Wales, AUSTRALIA",AUSTRALIA,-31.8759835,147.2869493
Colima,"Colima, MEXICO",MEXICO,19.166667,-104.0
Pernambuco,"Pernambuco, BRAZIL",BRAZIL,-8.4116316,-37.5919699
Florida,"Florida, USA",USA,27.7567667,-81.4639835
Queensland,"Queensland, AUSTRALIA",AUSTRALIA,-22.1646782,144.5844903
South Carolina,"South Carolina, USA",USA,33.6874388,-80.4363743
Cornwall,"Cornwall, ENGLAND",ENGLAND,50.4433489,-4.6246566
Westerm Australia,"Westerm Australia, AUSTRALIA",AUSTRALIA,-31.9496662,115.8619441
Eastern Cape Province,"Eastern Cape Province, SOUTH AFRICA",SOUTH AFRICA,-29.0,24.0
Hua Hin,"Hua Hin, THAILAND",THAILAND,12.5672438,99.9546036
Cocos Island,"Cocos Island, COSTA RICA",COSTA RICA,5.528035,-87.0596194
Australia,"Australia, AUSTRALIA",AUSTRALIA,-24.7761086,134.755
Alifu Alifu,"Alifu Alifu, MALDIVES",MALDIVES,3.91667,72.83333
Cape Province,"Cape Province, SOUTH AFRICA",SOUTH AFRICA,-33.9610301,25.6024713
New Providence,"New Providence, BAHAMAS",BAHAMAS,25.0302511,-77.3960341
Alagoas,"Alagoas, BRAZIL",BRAZIL,-9.6611661,-36.6502426
Victoria,"Victoria, AUSTRALIA",AUSTRALIA,-36.5986096,144.6780052
KwaZulu Natal,"KwaZulu Natal, SOUTH AFRICA",SOUTH AFRICA,-28.503833,30.8875009
Boi Island Victoria,"Boi Island Victoria, BRAZIL",BRAZIL,-20.3105442,-40.2807253
Galapagos Islands,"Galapagos Islands, ECUADOR",ECUADOR,-0.6288151,-90.3638752
Fernando de Noronha,"Fernando de Noronha, BRAZIL",BRAZIL,-3.8548681,-32.4208941
Sepang,"Sepang, MALAYSIA",MALAYSIA,2.8008619,101.7094012
Holquin Province,"Holquin Province, CUBA",CUBA,22.0,-79.5
Pamplemousses,"Pamplemousses, MAURITIUS",MAURITIUS,-20.0983185,57.5739056
South Australia,"South Australia, AUSTRALIA",AUSTRALIA,-30.5343665,135.6301212
North Island,"North Island, NEW ZEALAND",NEW ZEALAND,-38.0035304,175.9578526
New York,"New York, USA",USA,40.7127281,-74.0060152
Canary Islands,"Canary Islands, SPAIN",SPAIN,28.2935785,-16.6214471
Upolu Island,"Upolu Island, SAMOA",SAMOA,-13.9209349,-171.7755764
Shizuoka Prefecture,"Shizuoka Prefecture, JAPAN",JAPAN,34.9332488,138.0955398
Texas,"Texas, USA",USA,31.8160381,-99.5120986
Castell n,"Castell n, SPAIN",SPAIN,42.3282647,0.8856478
Massachusetts,"Massachusetts, USA",USA,42.3788774,-72.032366
Red Sea Protectorate,"Red Sea Protectorate, EGYPT",EGYPT,27.0,30.0
New Providence District,"New Providence District, BAHAMAS",BAHAMAS,25.03333,-77.28333
Grand Bahama Island,"Grand Bahama Island, BAHAMAS",BAHAMAS,26.6616762,-78.2682139
Ascension Island,"Ascension Island, ST HELENA, British overseas territory","ST HELENA, British overseas territory",-15.9655,-5.7115
New Jersey,"New Jersey, USA",USA,40.0757384,-74.4041622
Majorca,"Majorca, SPAIN",SPAIN,39.6134018,2.8804305
Washington,"Washington, USA",USA,38.8937936,-76.9879976
Tabasco,"Tabasco, MEXICO",MEXICO,17.9507864,-92.4831221
Anjouan,"Anjouan, COMOROS",COMOROS,-12.2265681,44.4107049
Ibiza Island,"Ibiza Island, SPAIN",SPAIN,38.9743901,1.4197463
Marquesas,"Marquesas, FRENCH POLYNESIA",FRENCH POLYNESIA,-9.7311647,-138.9787471
South Devon,"South Devon, UNITED KINGDOM",UNITED KINGDOM,50.9594443,-3.6593635
Sharjah,"Sharjah, UNITED ARAB EMIRATES",UNITED ARAB EMIRATES,25.3461498,55.4210633
Baja California Sur,"Baja California Sur, MEXICO",MEXICO,25.5818014,-111.5706164
Saint Leu,"Saint Leu, REUNION",REUNION,-21.1677694,55.2881932
South Island,"South Island, NEW ZEALAND",NEW ZEALAND,-43.586562,171.2123294
Luzon Island,"Luzon Island, PHILIPPINES",PHILIPPINES,15.5919633,120.7397903
Great Exuma,"Great Exuma, BAHAMAS",BAHAMAS,23.5654057,-75.8804451
Saint Andre,"Saint Andre, REUNION",REUNION,-20.9606333,55.6492731
Bimini,"Bimini, BAHAMAS",BAHAMAS,25.720065,-79.2744573
Bali,"Bali, INDONESIA",INDONESIA,-8.3304977,115.0906401
Tuamotus,"Tuamotus, FRENCH POLYNESIA",FRENCH POLYNESIA,-15.0,-140.0
Oregon,"Oregon, USA",USA,43.9792797,-120.737257
North Province,"North Province, NEW CALEDONIA",NEW CALEDONIA,-19.4615267,158.5833927
New Providence Island,"New Providence Island, BAHAMAS",BAHAMAS,25.0302511,-77.3960341
Alicante Province,"Alicante Province, SPAIN",SPAIN,38.353738,-0.4901846
Hong Kong,"Hong Kong, CHINA",CHINA,22.2793278,114.1628131
Kochi Prefecture,"Kochi Prefecture, JAPAN",JAPAN,33.6569018,133.5606241
Tasmania,"Tasmania, AUSTRALIA",AUSTRALIA,-42.1422055,146.6723518
Abaco Islands,"Abaco Islands, BAHAMAS",BAHAMAS,26.3918096,-77.1370018
Alabama,"Alabama, USA",USA,33.2588817,-86.8295337
North Carolina,"North Carolina, USA",USA,35.6729639,-79.0392919
Isla Provedencia,"Isla Provedencia, COLUMBIA",COLUMBIA,34.00071,-81.03481
Suez,"Suez, EGYPT",EGYPT,29.974498,32.537086
Grand Terre,"Grand Terre, NEW CALEDONIA",NEW CALEDONIA,-21.5,165.5
Boa Vista Island,"Boa Vista Island, CAPE VERDE",CAPE VERDE,16.099509,-22.8009411
Vanua Levu,"Vanua Levu, Fiji",Fiji,-16.5788332,179.1930927
Santa Catarina State,"Santa Catarina State, BRAZIL",BRAZIL,-27.0628367,-51.114965
South Province,"South Province, NEW CALEDONIA",NEW CALEDONIA,-22.1821122,166.541088
Altagracia Province,"Altagracia Province, DOMINICAN REPUBLIC",DOMINICAN REPUBLIC,19.0517848,-70.1417745
Grand Cayman,"Grand Cayman, CAYMAN ISLANDS",CAYMAN ISLANDS,19.3298691,-81.1712291
Balne rio Cambori,"Balne rio Cambori, BRAZIL",BRAZIL,-10.0,-55.0
Fujairah Emirate,"Fujairah Emirate, UNITED ARAB EMIRATES",UNITED ARAB EMIRATES,25.3501226,55.3813292
Grand Canary Island,"Grand Canary Island, SPAIN",SPAIN,40.0,-4.0
Inhambane Province,"Inhambane Province, MOZAMBIQUE",MOZAMBIQUE,-23.865961,35.384363
Phuket,"Phuket, THAILAND",THAILAND,7.9366015,98.3529292
Alicante,"Alicante, SPAIN",SPAIN,38.353738,-0.4901846
Guanacaste,"Guanacaste, COSTA RICA",COSTA RICA,10.4308708,-85.3659959
Bora Bora,"Bora Bora, FRENCH POLYNESIA",FRENCH POLYNESIA,-16.5043467,-151.7366886
Le Port,"Le Port, REUNION",REUNION,-20.9354584,55.2916763
Rangiroa,"Rangiroa, FRENCH POLYNESIA",FRENCH POLYNESIA,-15.1209131,-147.6954518
Saint Gilles,"Saint Gilles, REUNION",REUNION,-21.0546284,55.2245264
Sardinia,"Sardinia, ITALY",ITALY,40.061604,9.0977538
Sinaloa,"Sinaloa, MEXICO",MEXICO,25.0000001,-107.5000001
Central Tuamotu,"Central Tuamotu, FRENCH POLYNESIA",FRENCH POLYNESIA,-18.7963088,-141.5839778
d tang Sal,"d tang Sal, REUNION",REUNION,-21.10084,55.60344
Granada,"Granada, SPAIN",SPAIN,37.183054,-3.6021928
Cargados Carajos Shoals St Brandon,"Cargados Carajos Shoals St Brandon, MAURITIUS",MAURITIUS,-16.63333,59.63333
Moorea,"Moorea, FRENCH POLYNESIA",FRENCH POLYNESIA,-17.533306,-149.8386006
Catalonia,"Catalonia, SPAIN",SPAIN,41.8523094,1.5745043
Maryland,"Maryland, USA",USA,39.5162234,-76.9382069
Louisiana,"Louisiana, USA",USA,30.8703881,-92.007126
West End,"West End, BAHAMAS",BAHAMAS,25.6865029,-100.355522
Delaware,"Delaware, USA",USA,38.6920451,-75.4013315
